Tier (in t);2000  ;2001 ;2002 ;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Total;381765;384244;394224;393051;391068;387642;392543;399892.189;411459.254;404089.564;417644.754;420441.34;409347.353;414947.17;421157.033;418053.198;416958.533;414617.734;414169.818;411576.412;416130.92
Stiere, Ochsen, Kühe, Rinder;73004;69081;76328;73396;73637;74987;80015;79857.704;85858.233;84259.068;87281.576;88823.452;87902.403;92321.104;93035.605;92221.545;93110.075;92126.855;94801.586;94834.225;97292.16
Kälber;24016;24286;24328;23650;23321;22763;22430;21860.526;21235.073;22322.741;22195.122;22534.169;22236.161;21641.29;21114.029;20323.436;20038.197;19085.26;19215.73;18660.846;17917.544
Schweine;181140;180894;183495;182333;180155;182651;188745;189976.538;190715.132;188473.734;195871.104;193750.716;185669.651;186843.302;190493.489;185604.16;184707.818;183932.021;179476.951;176905.913;179411.338
Schafe;11762;11260;10840;10994;11089;10624;10347;9252.239;9131.853;8928.124;9144.072;9247.709;8968.046;8801.003;9221.376;9624.7;9730.169;9433.247;9308.068;8788.085;9026.223
Ziegen;866;697;716;745;705;680;725;643.758;621.912;561.679;594.856;622.207;599.559;533.929;555.532;599.76;524.76;540.468;534.14;557.413;452.146
Equiden (Pferde, Esel, Maultiere, Maulesel);4579;4970;4618;4481;4758;4768;5219;5285.082;5336.947;5161.614;5261.09;5406.263;5432.57;4597.122;3807.325;3578.63;3292.228;3054.504;2848.474;2656.46;2495.468
Geflügel;66234;71077;72092;75617;75159;67809;63169;68483.668;74756.245;74658.245;76929.274;80689.961;81491.871;82041.232;86428.519;88629.125;88608.348;88612.19;91850.184;92302.084;93079.227
Kaninchen;3661;3840;3174;2689;2843;2718;2942;2578.357;2129.81;2021.953;2156.32;2112.977;1684.321;1776.348;1748.991;1494;1466.119;1437.674;1239.388;1170.121;1102.071
Wild;4313;4942;5346;5156;4604;4235;4620;4885.736;5291.914;4372.965;5098.187;4315.574;4028.576;4153.609;4073.638;4594;4573.451;4897.49;4210.502;4307.265;3947.648
Fleisch von anderwertigen oder nicht definiertes Fleisch aus Aussenhandel;0;0;0;0;0;0;0;258.086;270.185;260.087;339.929;403.266;327.592;239.702;289.777;200.312;244.422;202.108;198.437;228.576;247.874
Organteile;12190;13197;13287;13990;14797;16407;14331;16810.495;16111.95;13069.354;12773.224;12535.046;11006.603;11998.529;10388.752;11183.53;10662.946;11295.917;10486.358;11165.424;11159.221
