Year;Total;Cow;Veal;Pig;Sheep;Goeat;Horse;Chicken;Rabbit;Venison;Other;Organs
2000;51.9;9.9;3.3;24.6;1.6;0.1;0.6;9;0.5;0.6;0;1.7
2001;51.9;9.3;3.3;24.4;1.5;0.1;0.7;9.6;0.5;0.7;0;1.8
2002;52.9;10.2;3.3;24.6;1.5;0.1;0.6;9.7;0.4;0.7;0;1.8
2003;52.3;9.8;3.1;24.2;1.5;0.1;0.6;10.1;0.4;0.7;0;1.8
2004;51.7;9.7;3.1;23.8;1.5;0.1;0.6;9.9;0.4;0.6;0;2
2005;51;9.9;3;24;1.4;0.1;0.6;8.9;0.3;0.6;0;2.2
2006;51.3;10.5;2.9;24.7;1.3;0.1;0.7;8.2;0.4;0.6;0;1.9
2007;51.79950635;10.34426218;2.831674352;24.60835984;1.198476554;0.083388342;0.684596114;8.870941451;0.333984067;0.632867358;0.033430829;2.177525259
2008;52.616272;10.979315;2.715483;24.388123;1.167755;0.079529;0.682474;9.559622;0.272354;0.676716;0.03455;2.060351
2009;51.150578;10.665705;2.825663;23.857435;1.130143;0.071098;0.653369;9.450412;0.255943;0.553539;0.032923;1.654348
2010;52.402103;10.951265;2.784833;24.576048;1.147312;0.074637;0.660112;9.652356;0.270554;0.639672;0.042651;1.602663
2011;52.228737;11.033969;2.799275;24.068412;1.148784;0.077293;0.671585;10.023597;0.262482;0.536096;0.050096;1.557148
2012;50.350228;10.812104;2.735075;22.837595;1.103081;0.073746;0.668213;10.023601;0.207173;0.49552;0.040294;1.353826
2013;50.541678;11.244959;2.635967;22.758015;1.071986;0.065034;0.559942;9.992841;0.216364;0.50592;0.029197;1.461453
2014;50.68075006;11.19562034;2.540797714;22.92340421;1.109672202;0.066851023;0.458161853;10.4005438;0.210468231;0.490209146;0.034870878;1.250150662
2015;49.82755638;10.99184088;2.422340405;22.12206913;1.14716329;0.071485101;0.426535161;10.5636621;0.17806913;0.547556615;0.023875089;1.332959476
2016;49.227692;10.992925;2.365784;21.807299;1.148781;0.061955;0.388693;10.461436;0.173095;0.539959;0.028858;1.258907
2017;48.721239;10.825717;2.242686;21.613634;1.10849;0.06351;0.358931;10.412712;0.16894;0.575498;0.02375;1.327371
2018;48.440912;11.087904;2.247454;20.991455;1.088663;0.062473;0.333155;10.742711;0.144957;0.492456;0.023209;1.226475
2019;47.636161;10.976184;2.15982;20.475221;1.017139;0.064516;0.307461;10.683113;0.135431;0.498527;0.026455;1.292294
2020;47.341403;11.068504;2.038401;20.410848;1.026875;0.051438;0.283898;10.589219;0.125378;0.449106;0.028199;1.269537
