Tier (in kg);2000  ;2001 ;2002 ;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Total;51.9;51.9;52.9;52.3;51.7;51;51.3;51.79950635;52.616272;51.150578;52.402103;52.228737;50.350228;50.541678;50.68075006;49.82755638;49.227692;48.721239;48.440912;47.636161;47.341403
Stiere, Ochsen, Kühe, Rinder;9.9;9.3;10.2;9.8;9.7;9.9;10.5;10.34426218;10.979315;10.665705;10.951265;11.033969;10.812104;11.244959;11.19562034;10.99184088;10.992925;10.825717;11.087904;10.976184;11.068504
Kälber;3.3;3.3;3.3;3.1;3.1;3;2.9;2.831674352;2.715483;2.825663;2.784833;2.799275;2.735075;2.635967;2.540797714;2.422340405;2.365784;2.242686;2.247454;2.15982;2.038401
Schweine;24.6;24.4;24.6;24.2;23.8;24;24.7;24.60835984;24.388123;23.857435;24.576048;24.068412;22.837595;22.758015;22.92340421;22.12206913;21.807299;21.613634;20.991455;20.475221;20.410848
Schafe;1.6;1.5;1.5;1.5;1.5;1.4;1.3;1.198476554;1.167755;1.130143;1.147312;1.148784;1.103081;1.071986;1.109672202;1.14716329;1.148781;1.10849;1.088663;1.017139;1.026875
Ziegen;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.083388342;0.079529;0.071098;0.074637;0.077293;0.073746;0.065034;0.066851023;0.071485101;0.061955;0.06351;0.062473;0.064516;0.051438
Equiden (Pferde, Esel, Maultiere, Maulesel);0.6;0.7;0.6;0.6;0.6;0.6;0.7;0.684596114;0.682474;0.653369;0.660112;0.671585;0.668213;0.559942;0.458161853;0.426535161;0.388693;0.358931;0.333155;0.307461;0.283898
Geflügel;9;9.6;9.7;10.1;9.9;8.9;8.2;8.870941451;9.559622;9.450412;9.652356;10.023597;10.023601;9.992841;10.4005438;10.5636621;10.461436;10.412712;10.742711;10.683113;10.589219
Kaninchen;0.5;0.5;0.4;0.4;0.4;0.3;0.4;0.333984067;0.272354;0.255943;0.270554;0.262482;0.207173;0.216364;0.210468231;0.17806913;0.173095;0.16894;0.144957;0.135431;0.125378
Wild;0.6;0.7;0.7;0.7;0.6;0.6;0.6;0.632867358;0.676716;0.553539;0.639672;0.536096;0.49552;0.50592;0.490209146;0.547556615;0.539959;0.575498;0.492456;0.498527;0.449106
Fleisch von anderwertigen oder nicht definiertes Fleisch aus Aussenhandel;0;0;0;0;0;0;0;0.033430829;0.03455;0.032923;0.042651;0.050096;0.040294;0.029197;0.034870878;0.023875089;0.028858;0.02375;0.023209;0.026455;0.028199
Organteile;1.7;1.8;1.8;1.8;2;2.2;1.9;2.177525259;2.060351;1.654348;1.602663;1.557148;1.353826;1.461453;1.250150662;1.332959476;1.258907;1.327371;1.226475;1.292294;1.269537
;;;;;;;;;;;;;;;;;;;;;
