Nahrungsmittel (in kg);2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Total (pflanzlich / tierisch);889.374921;896.515252;888.20474;884.505112;887.599689;873.48163;882.817347;861.307618;868.648447;851.169759;847.065134;834.472268;829.031017;844.2444
Pflanzliche Nahrungsmittel;551.769072;560.774186;560.56724;551.976539;552.173314;544.914942;549.326837;531.591407;541.369234;529.969391;529.760731;520.461415;521.19187;531.817697
Getreideprodukte;98.383398;93.982295;97.215459;94.333993;100.44318;91.942677;90.23286;90.027135;92.570062;88.860962;90.435371;87.474532;89.463362;90.536958
Kartoffeln etc.;42.377038;47.558741;46.89828;48.615038;45.176104;49.394508;52.46591;43.430768;52.181408;48.360191;42.862596;46.761904;46.040031;47.21456
Stärken;4.090748;3.809306;3.405859;3.620674;3.990964;3.354247;3.153483;3.171274;3.455159;3.148693;3.40953;3.734591;3.105467;3.075991
Zucker;44.639812;44.928372;42.363202;38.895058;38.986766;37.622031;41.695623;39.077777;39.576654;37.914051;40.807231;34.25796;35.495491;36.475249
Hülsenfrüchte;0.948839;0.921267;0.87722;0.880352;0.899333;0.90551;0.931403;0.986715;1.133554;1.062723;1.233071;1.150492;1.137933;1.563563
Nüsse;8.059203;7.851179;7.605226;7.5877;7.764535;7.316361;8.199711;8.262729;8.029775;8.054424;8.369815;8.573121;8.560503;8.807505
Ölfrüchte;3.737107;3.933464;3.665459;3.630906;3.674542;3.454231;3.748557;3.676812;3.9623;3.87934;4.043011;4.037582;4.347139;4.406939
Gemüse;103.237925;105.73809;108.198837;107.227658;108.150725;106.543805;105.200513;104.458797;104.168504;102.678964;103.273315;103.77971;98.922452;105.454995
Früchte;118.906166;123.708572;124.175197;119.811293;117.028687;121.092802;119.244203;114.924142;115.048785;115.817414;114.965584;109.323793;112.000319;115.264125
Stimulantien;12.803394;13.602101;11.623583;12.29413;12.053128;12.116296;12.364101;11.791218;12.403538;11.803722;11.677441;12.488329;12.186539;11.978032
Gewürze;0.596026;0.533046;0.538456;0.688063;0.696519;0.771193;0.648192;0.717634;0.69513;0.66414;0.79638;0.994892;1.10271;1.326606
Alkoholhaltige Getränke;97.535135;97.670866;95.880282;96.389614;95.298127;93.899421;93.341325;91.970419;90.740517;88.603276;88.636726;88.900219;90.255633;84.765442
Pflanzliche Fette, Öle;15.274903;15.17728;16.017389;15.940529;16.210125;14.945669;16.258062;16.630264;15.435807;16.30235;16.382124;16.523023;15.81909;17.798555
Verschiedenes ;1.179378;1.359607;2.102791;2.061531;1.800579;1.556191;1.842894;2.465723;1.968041;2.819141;2.868536;2.461267;2.755201;3.149177
Tierische Nahrungsmittel;337.605849;335.741066;327.6375;332.528573;335.426375;328.566688;333.49051;329.716211;327.279213;321.200368;317.304403;314.010853;307.839147;312.426703
Fleisch;51.799506;52.616272;51.150578;52.402102;52.228734;50.350228;50.541677;50.680754;49.827563;49.227691;48.721239;48.440912;47.653006;47.357699
Eier;11.674521;11.814422;11.937904;12.13013;11.517631;11.500115;11.625214;11.759391;11.898155;11.932903;12.082578;12.203648;12.420055;12.901044
Fische, Schalentiere;7.384812;7.544411;7.769948;7.85477;7.817704;7.506667;8.038763;7.674211;7.77478;7.848102;7.499045;7.493381;7.31504;7.595541
Milch, Milchprodukte;260.716707;257.785763;251.166057;254.358356;257.952612;253.412178;257.230438;253.765322;252.089965;246.617719;243.685586;240.599223;234.849412;238.643691
Tierische Fette;6.030303;5.980198;5.613013;5.783215;5.909694;5.7975;6.054418;5.836533;5.68875;5.573953;5.315955;5.273689;5.601634;5.928728
